Base Aérea Los Cóndores | ISPARTOF | Alto Hospicio
Base Aérea Los Cóndores | ISCONTAINEDIN | Iquique
Base Aérea Los Cóndores | ISPARTOF | Servicio De Inteligencia De La Fuerza Aérea
Servicio De Inteligencia De La Fuerza Aérea | ISPARTOF | Fuerza Aérea
Base Aérea Los Cóndores | ISRELATEDTO | Erick Otto Frederich Claussen Sparenberg
Base Aérea Los Cóndores | ISRELATEDTO | Informe Rettig
Base Aérea Los Cóndores | ISRELATEDTO | Informe Valech
Base Aérea Los Cóndores | ISRELATEDTO | Memoriaviva
Base Aérea Los Cóndores | ISRELATEDTO | Centros De Detención Y Tortura Durante La Dictadura Militar
Base Aérea Los Cóndores | ISRELATEDTO | El Ciudadano
Batallón Logístico N° 6 Pisagua | ISPARTOF | Iquique
Campamento De Prisioneros De Pisagua | ISPARTOF | Iquique
Cárcel Buen Pastor De Iquique | ISPARTOF | Iquique
Cárcel Pública De Arica | ISPARTOF | Arica
Cire | ISCONTAINEDIN | Avenida Diego Portales Arica
Cire | ISRELATEDTO | Grober Hugo Venegas Islas
Cire | ISPARTOF | Patricio Padilla Villar
Cire | ISPARTOF | José Luis Catalán Reyes
Cire | ISPARTOF | José Vignolo Quezada
Grober Hugo Venegas Islas | ISRELATEDTO | Augusto Pinochet Ugarte
Georgina Del Carmen Inostroza Valencia | ISRELATEDTO | Grober Hugo Venegas Islas
Rodrigo Olavarría Rodríguez | WASPRESENTAT | Patricio Padilla Villar
Rodrigo Olavarría Rodríguez | WASPRESENTAT | José Luis Catalán Reyes
Rodrigo Olavarría Rodríguez | WASPRESENTAT | José Vignolo Quezada
Cire | ISRELATEDTO | Comisión Nacional De Verdad Y Reconciliación
Cire | ISRELATEDTO | Poder Judicial
Rotonda Camino Azapa | ISPARTOF | Cire
Grober Hugo Venegas Islas | ISPARTOF | Cire
Cire | ISCONTAINEDIN | Valle De Azapa
Cire | ISCONTAINEDIN | Arica
Cire | ISCONTAINEDIN | Avenida Diego Portales
Grober Hugo Venegas Islas | WASPRESENTAT | Valle De Azapa
Comisaría De Carabineros De Tarapacá | ISCONTAINEDIN | Tarapacá
Comisaría De Carabineros De Tarapacá | ISPARTOF | Rama
Comisaría De Carabineros De Tarapacá | ISRELATEDTO | Gerardo Poblete Fernández
Gerardo Poblete Fernández | ISRELATEDTO | Gustavo San Martín
Gerardo Poblete Fernández | ISRELATEDTO | Enzo Meniconi
Gerardo Poblete Fernández | ISRELATEDTO | Blas Barraza Quintero
Gerardo Poblete Fernández | ISRELATEDTO | Froilán Moncada Sáez
Gerardo Poblete Fernández | ISRELATEDTO | Ricardo Salgado Torres
Gustavo San Martín | ISRELATEDTO | Enzo Meniconi
Congregación Salesiana | ISRELATEDTO | Gerardo Poblete Fernández
Informe Rettig | ISRELATEDTO | Gerardo Poblete Fernández
