lorena pizarro | chief | agrupacion de familiares de detenidos desaparecidos
abraham santibanez | chief | revista hoy
jaime martinez | chief | revista hoy
adolfo banados cuadra | chief | corte suprema
lautaro castro mendoza | chief | carabineros
juan jose villegas navarro | affected by | carabineros
felix hector sagredo aravena | affected by | carabineros
david coliqueo fuentealba | affected by | carabineros
jose belmar | affected by | carabineros
jacinto torres gonzalez | affected by | carabineros
manuel munoz | affected by | carabineros
justo ignacio romo peralta | affected by | carabineros
gonzalo salazar | chief | fiscal militar gonzalo salazar
hector solis | chief | corte suprema
marcelo castro mendoza | affected by | carabineros
david coliqueo peralta | affected by | carabineros
pablo nancupil raquileo | affected by | carabineros
marisela santibanez | member | corporacion memoria lonquen
lorena pizarro | member | corporacion memoria lonquen
haydee oberreuter | chief | corporacion memoria lonquen
carlos maureira | other | corporacion memoria lonquen
jaime martinez | member | comision
abraham santibanez | member | comision
gonzalo salazar | affected by | instituto medico legal
marianela cifuentes | chief | corte suprema
pablo nancupil raguileo | affected by | ministerio publico
ministro banados | chief | fiscal militar
jose auth | affected by | partido por la democracia
purisima munoz | affected by | carabineros
enrique astudillo alvarez | affected by | carabineros
omar astudillo | affected by | carabineros
ramon astudillo | affected by | carabineros
miguel brant | affected by | carabineros
carlos hernandez | affected by | carabineros
nelson hernandez | affected by | carabineros
oscar hernandez flores | affected by | carabineros
jose manuel | affected by | carabineros
sergio maureira lillo | affected by | carabineros
manuel navarro | affected by | carabineros
ivan ordonez | affected by | carabineros
pablo nancupil raguileo | affected by | carabineros
marianela cifuentes | chief | carabineros de chile
david coliqueo fuentealba | member | carabineros de chile
justo ignacio romo peralta | member | carabineros de chile
felix hector sagredo aravena | member | carabineros de chile
jacinto torres gonzalez | member | carabineros de chile
juan jose villegas navarro | member | carabineros de chile
pablo nancupil raguileo | member | carabineros de chile
sergio diez | chief | naciones unidas
israel borquez | chief | corte suprema
juana godoy | affected by | corte suprema
lautaro castro mendoza | member | corte de apelaciones de santiago
adriana sottovia | other | comision de abogados por la democracia
naguayan | is contained in | lonquen
lonquen | is contained in | santiago
lonquen | is contained in | fundacion lonquen
lonquen | is contained in | el triunfador
accusation | occurs at | lonquen
proposal | occurs at | lonquen
discovery | occurs at | lonquen
confirm | occurs at | lonquen
arrest | occurs at | lonquen
creacion comision | occurs at | lonquen
hallazgo | occurs at | lonquen
opposition to landfill proposal | occurs at | lonquen
destruction of furnaces | occurs at | lonquen
confirmation by corte marcial | occurs at | lonquen
encargatoria de reo | occurs at | lonquen
hallazgo | occurs at | lonquen
masacre de lonquen | occurs at | lonquen
hallazgo cuerpos | occurs at | lonquen
funeral | occurs at | lonquen
adolfo banados cuadra | was present at | lonquen
luis navarro | was present at | lonquen
gonzalo aguirre | was present at | lonquen
juana godoy | was present at | lonquen
abraham santibanez | was present at | lonquen
alejandro gonzalez | was present at | lonquen
enrique alvear | was present at | lonquen
sergio diez | was present at | lonquen
pablo nancupil raguileo | was present at | lonquen
marcelo castro mendoza | was present at | lonquen
ivan ordonez | was present at | lonquen
manuel navarro | was present at | lonquen
sergio maureira lillo | was present at | lonquen
jose manuel | was present at | lonquen
oscar hernandez flores | was present at | lonquen
nelson hernandez | was present at | lonquen
carlos hernandez | was present at | lonquen
miguel brant | was present at | lonquen
ramon astudillo | was present at | lonquen
omar astudillo | was present at | lonquen
enrique astudillo alvarez | was present at | lonquen
justo ignacio romo peralta | was present at | lonquen
jose belmar | was present at | lonquen
david coliqueo fuentealba | was present at | lonquen
jacinto torres gonzalez | was present at | lonquen
manuel munoz | was present at | lonquen
felix hector sagredo aravena | was present at | lonquen
juan jose villegas navarro | was present at | lonquen
ministro banados | was present at | lonquen
lautaro castro mendoza | was present at | lonquen
cristian precht | was present at | lonquen
carlos maureira | was present at | lonquen
haydee oberreuter | was present at | lonquen
lorena pizarro | was present at | lonquen
marisela santibanez | was present at | lonquen
jaime martinez | was present at | lonquen
maximo pacheco | was present at | lonquen
instituto medico legal | is contained in | lonquen
lonquen | is contained in | cementerio parroquial de isla de maipo
juan jose villegas navarro | was present at | cementerio parroquial de isla de maipo
jacinto torres gonzalez | was present at | cementerio parroquial de isla de maipo
felix hector sagredo aravena | was present at | cementerio parroquial de isla de maipo
justo ignacio romo peralta | was present at | cementerio parroquial de isla de maipo
burial | occurs at | cementerio parroquial de isla de maipo
cementerio parroquial de isla de maipo | is contained in | isla de maipo
david coliqueo peralta | was present at | comisaria de buin
comisaria de buin | is contained in | isla de maipo
pablo nancupil raquileo | was present at | reten de viluco
juan jose villegas navarro | cause of | detencion
felix hector sagredo aravena | cause of | detencion
justo ignacio romo peralta | cause of | detencion
carabineros de chile | cause of | detencion
jacinto torres gonzalez | cause of | detencion
pablo nancupil raguileo | cause of | detencion
detencion | occurs at | isla de maipo
david coliqueo fuentealba | cause of | detencion
detencion y desaparicion | occurs at | reten de viluco
detencion y desaparicion | occurs at | comisaria de buin
tenencia de carabineros | cause of | detencion y desaparicion
detencion y desaparicion | occurs at | estadio nacional
detencion y desaparicion | occurs at | cerro chena
detencion y desaparicion | occurs at | isla de maipo
justo ignacio romo peralta | unspecified | detencion y desaparicion
pablo nancupil raquileo | unspecified | detencion y desaparicion
david coliqueo peralta | unspecified | detencion y desaparicion
marcelo castro mendoza | unspecified | detencion y desaparicion
chile | affected by | presentation
presentation | occurs at | santiago
corte suprema | cause of | designation
designation | occurs at | santiago
release | occurs at | lonquen
descubrimiento | occurs at | lonquen
abraham santibanez | cause of | descubrimiento
jaime martinez | cause of | descubrimiento
alejandro gonzalez | cause of | descubrimiento
cristian precht | cause of | descubrimiento
masacre de lonquen | occurs at | lonquen
justo ignacio romo peralta | cause of | masacre de lonquen
jose belmar | cause of | masacre de lonquen
david coliqueo fuentealba | cause of | masacre de lonquen
jacinto torres gonzalez | cause of | masacre de lonquen
manuel munoz | cause of | masacre de lonquen
felix hector sagredo aravena | cause of | masacre de lonquen
juan jose villegas navarro | cause of | masacre de lonquen
