marianela cifuentes | chief | corte suprema
lorena pizarro | member | agrupacion de familiares de detenidos desaparecidos
david coliqueo fuentealba | member | carabineros de chile
justo ignacio romo peralta | member | carabineros de chile
felix hector sagredo aravena | member | carabineros de chile
jacinto torres gonzalez | member | carabineros de chile
juan jose villegas navarro | member | carabineros de chile
pablo nancupil raguileo | member | carabineros de chile
lautaro eugenio castro mendoza | affected by | Carabineros
javier egana | member | Museo de la Memoria
alejandro gonzalez | chief | Museo de la Memoria
cristian precht | chief | Museo de la Memoria
enrique alvear | member | Museo de la Memoria
jaime martinez | member | corte suprema
abraham santibanez | member | corte suprema
adolfo banados cuadra | chief | Corte de Apelaciones de Santiago
gonzalo salazar | chief | Instituto Medico Legal
hector solis | chief | Corte de Apelaciones de Santiago
adolfo banados cuadra | chief | Carabineros
sergio diez | affected by | Carabineros
cristian precht | member | vicaria de la solidaridad
carlos contreras | member | Carabineros
luis navarro | member | vicaria de la solidaridad
marisela santibanez | member | corporacion memoria lonquen
lorena pizarro | member | corporacion memoria lonquen
haydee oberreuter | member | corporacion memoria lonquen
carlos maureira | affected by | Carabineros
enrique alvear | member | vicaria de la solidaridad
javier egana | member | vicaria de la solidaridad
alejandro gonzalez | chief | vicaria de la solidaridad
maximo pacheco | member | vicaria de la solidaridad
jaime martinez | member | vicaria de la solidaridad
abraham santibanez | member | vicaria de la solidaridad
israel borquez | member | corte suprema
juana godoy | member | corte suprema
gonzalo aguirre | member | vicaria de la solidaridad
sergio miguel maureira lillo | affected by | Carabineros
rodolfo antonio maureira lillo | affected by | Carabineros
segundo armando maureira lillo | affected by | Carabineros
jose manuel maureira lillo | affected by | Carabineros
oscar nibaldo hernandez flores | affected by | Carabineros
carlos segundo hernandez flores | affected by | Carabineros
nelson hernandez flores | affected by | Carabineros
enrique astudillo alvarez | affected by | Carabineros
omar astudillo alvarez | affected by | Carabineros
ramon astudillo alvarez | affected by | Carabineros
miguel angel arturo brant bustamante | affected by | Carabineros
ivan gerardo ordonez lama | affected by | Carabineros
jose manuel herrera villegas | affected by | Carabineros
manuel jesus navarro salinas | affected by | Carabineros
abraham santibanez | other | empresa metropolitana de residuos solidos
sergio diez | member | naciones unidas
gonzalo salazar | other | justicia militar
sergio adrian maureira lillo | affected by | Carabineros
ignacio del carmen vergara guajardo | affected by | Carabineros
rodolfo antonio maureira munoz | affected by | Carabineros
sergio miguel maureira munoz | affected by | Carabineros
jose manuel maureira munoz | affected by | Carabineros
segundo armando maureira munoz | affected by | Carabineros
omar astudillo rojas | affected by | Carabineros
ramon astudillo rojas | affected by | Carabineros
juan jose villegas navarro | affected by | Carabineros
felix hector sagredo aravena | affected by | Carabineros
manuel munoz rencoret | affected by | Carabineros
jacinto torres gonzalez | affected by | Carabineros
david coliqueo fuentealba | affected by | Carabineros
jose belmar sepulveda | affected by | Carabineros
justo ignacio romo peralta | affected by | Carabineros
sergio fernandez | member | ministerio del interior
gonzalo salazar | chief | fiscalia militar
jose auth | member | partido por la democracia
marcelo ivan castro mendoza | member | Carabineros
david coliqueo peralta | member | Carabineros
pablo nancupil raquileo | member | Carabineros
marcelo ivan castro mendoza | chief | carabineros de chile
marianela cifuentes | affected by | corte de apelaciones de san miguel
jaime martinez | affected by | cooperativa agricola el triunfador
abraham santibanez | affected by | cooperativa agricola el triunfador
juana godoy | member | investigaciones
lautaro eugenio castro mendoza | member | investigaciones
Juan J. Villegas Navarro | member | investigaciones
felix hector sagredo aravena | member | investigaciones
manuel munoz rencoret | member | investigaciones
sergio fernandez | chief | Carabineros
adriana sottovia | chief | corte de apelaciones de san miguel
partido por la democracia | unspecified | opposition to Lonquen landfill
opposition to Lonquen landfill | occurs at | lonquen
explosion at Lonquen | occurs at | lonquen
sergio miguel maureira lillo | affected by | explosion at Lonquen
fiscal decision on officers | occurs at | lonquen
justo ignacio romo peralta | cause of | fiscal decision on officers
jose belmar sepulveda | cause of | fiscal decision on officers
david coliqueo fuentealba | cause of | fiscal decision on officers
jacinto torres gonzalez | cause of | fiscal decision on officers
manuel munoz rencoret | cause of | fiscal decision on officers
felix hector sagredo aravena | cause of | fiscal decision on officers
juan jose villegas navarro | cause of | fiscal decision on officers
lautaro eugenio castro mendoza | cause of | fiscal decision on officers
abraham santibanez | affected by | discovery of lonquen bodies
sergio diez | affected by | discovery of lonquen bodies
empresa metropolitana de residuos solidos | cause of | discovery of lonquen bodies
Instituto Medico Legal | affected by | discovery of lonquen bodies
vicaria de la solidaridad | affected by | discovery of lonquen bodies
cristian precht | cause of | discovery of lonquen bodies
discovery of lonquen bodies | occurs at | lonquen
jaime martinez | affected by | discovery of lonquen bodies
maximo pacheco | affected by | discovery of lonquen bodies
alejandro gonzalez | affected by | discovery of lonquen bodies
javier egana | affected by | discovery of lonquen bodies
enrique alvear | affected by | discovery of lonquen bodies
investigaciones | affected by | formal complaint presented
corte suprema | affected by | formal complaint presented
formal complaint presented | occurs at | santiago
israel borquez | affected by | formal complaint presented
Instituto Medico Legal | cause of | Corte Suprema investigation
corte suprema | cause of | Corte Suprema investigation
Corte Suprema investigation | occurs at | santiago
adolfo banados cuadra | cause of | Corte Suprema investigation
ramon astudillo rojas | affected by | arrest at sergio maureira's house
segundo armando maureira munoz | affected by | arrest at sergio maureira's house
jose manuel maureira munoz | affected by | arrest at sergio maureira's house
omar astudillo rojas | affected by | arrest at sergio maureira's house
arrest at sergio maureira's house | occurs at | fundo naguayan
sergio miguel maureira munoz | affected by | arrest at sergio maureira's house
rodolfo antonio maureira munoz | affected by | arrest at sergio maureira's house
nelson hernandez flores | affected by | arrest at sergio maureira's house
manuel munoz rencoret | cause of | arrest at sergio maureira's house
miguel angel arturo brant bustamante | affected by | arrest at sergio maureira's house
segundo armando maureira lillo | affected by | arrest at sergio maureira's house
jose manuel maureira lillo | affected by | arrest at sergio maureira's house
felix hector sagredo aravena | cause of | arrest at sergio maureira's house
Carabineros | cause of | arrest at sergio maureira's house
ramon astudillo alvarez | affected by | arrest at sergio maureira's house
marcelo ivan castro mendoza | acted upon | arrest at sergio maureira's house
Juan J. Villegas Navarro | cause of | arrest at sergio maureira's house
rodolfo antonio maureira lillo | affected by | arrest at sergio maureira's house
manuel jesus navarro salinas | affected by | arrest at sergio maureira's house
lautaro eugenio castro mendoza | cause of | arrest at sergio maureira's house
carlos segundo hernandez flores | affected by | arrest at sergio maureira's house
arrest at sergio maureira's house | occurs at | isla de maipo
jose manuel herrera villegas | affected by | arrest at sergio maureira's house
david coliqueo peralta | acted upon | arrest at sergio maureira's house
omar astudillo alvarez | affected by | arrest at sergio maureira's house
oscar nibaldo hernandez flores | affected by | arrest at sergio maureira's house
carabineros de chile | cause of | arrest at sergio maureira's house
pablo nancupil raquileo | acted upon | arrest at sergio maureira's house
ivan gerardo ordonez lama | affected by | arrest at sergio maureira's house
sergio miguel maureira lillo | affected by | arrest at sergio maureira's house
david coliqueo fuentealba | cause of | supreme court condemns carabineros
justo ignacio romo peralta | cause of | supreme court condemns carabineros
felix hector sagredo aravena | cause of | supreme court condemns carabineros
jacinto torres gonzalez | cause of | supreme court condemns carabineros
juan jose villegas navarro | cause of | supreme court condemns carabineros
pablo nancupil raguileo | cause of | supreme court condemns carabineros
marianela cifuentes | affected by | supreme court condemns carabineros
lorena pizarro | affected by | supreme court condemns carabineros
nelson caucoto | affected by | supreme court condemns carabineros
lautaro eugenio castro mendoza | cause of | Arrest of 15 men
abraham santibanez | affected by | Finding of human remains
enrique alvear | affected by | Finding of human remains
cristian precht | affected by | Finding of human remains
javier egana | affected by | Finding of human remains
alejandro gonzalez | affected by | Finding of human remains
maximo pacheco | affected by | Finding of human remains
jaime martinez | affected by | Finding of human remains
hector solis | affected by | Identification of 13 bodies
luis navarro | affected by | masacre de Lonquen conmemoration
marisela santibanez | affected by | masacre de Lonquen conmemoration
lorena pizarro | affected by | masacre de Lonquen conmemoration
haydee oberreuter | affected by | masacre de Lonquen conmemoration
carlos maureira | affected by | masacre de Lonquen conmemoration
lautaro eugenio castro mendoza | cause of | military prosecutor indicts
gonzalo salazar | cause of | prisoners' release decision
lautaro eugenio castro mendoza | cause of | lonquen massacre
sergio adrian maureira lillo | affected by | arrest at sergio maureira's house
carlos segundo hernandez flores | affected by | arrest at la ballica no 12
nelson hernandez flores | affected by | arrest at la ballica no 12
oscar nibaldo hernandez flores | affected by | arrest at la ballica no 12
ignacio del carmen vergara guajardo | affected by | arrest at la ballica no 12
lautaro eugenio castro mendoza | cause of | death of detainees
juan jose villegas navarro | cause of | death of detainees
felix hector sagredo aravena | cause of | death of detainees
manuel munoz rencoret | cause of | death of detainees
jacinto torres gonzalez | cause of | death of detainees
david coliqueo fuentealba | cause of | death of detainees
jose belmar sepulveda | cause of | death of detainees
justo ignacio romo peralta | cause of | death of detainees
gonzalo salazar | cause of | dictation of orders 1979
sergio fernandez | acted upon | discovery of remains
purisima munoz | affected by | opposition to Lonquen landfill
sergio miguel maureira lillo | affected by | death of detainees
enrique astudillo alvarez | affected by | death of detainees
omar astudillo rojas | affected by | death of detainees
ramon astudillo rojas | affected by | death of detainees
miguel brant benavente | affected by | death of detainees
carlos segundo hernandez flores | affected by | death of detainees
nelson hernandez flores | affected by | death of detainees
oscar nibaldo hernandez flores | affected by | death of detainees
jose manuel herrera villegas | affected by | death of detainees
jose manuel maureira munoz | affected by | death of detainees
rodolfo antonio maureira munoz | affected by | death of detainees
segundo armando maureira munoz | affected by | death of detainees
sergio miguel maureira munoz | affected by | death of detainees
manuel jesus navarro salinas | affected by | death of detainees
ivan gerardo ordonez lama | affected by | death of detainees
marianela cifuentes | cause of | sentencing of former carabineros
marcelo ivan castro mendoza | cause of | sentencing of former carabineros
david coliqueo fuentealba | cause of | sentencing of former carabineros
justo ignacio romo peralta | cause of | sentencing of former carabineros
felix hector sagredo aravena | cause of | sentencing of former carabineros
jacinto torres gonzalez | cause of | sentencing of former carabineros
juan jose villegas navarro | cause of | sentencing of former carabineros
pablo nancupil raguileo | cause of | sentencing of former carabineros
luis diaz bahamondes | affected by | remains identified in lonquen
cristian precht | affected by | discovery at lonquen
enrique alvear | affected by | discovery at lonquen
javier egana | affected by | discovery at lonquen
alejandro gonzalez | affected by | discovery at lonquen
maximo pacheco | affected by | discovery at lonquen
jaime martinez | affected by | discovery at lonquen
abraham santibanez | affected by | discovery at lonquen
juana godoy | affected by | discovery at lonquen
gonzalo aguirre | affected by | discovery at lonquen
luis navarro | affected by | discovery at lonquen
adolfo banados cuadra | affected by | minister in visit extraordinary
lautaro eugenio castro mendoza | unspecified | military indictment issued
Juan J. Villegas Navarro | unspecified | military indictment issued
felix hector sagredo aravena | unspecified | military indictment issued
adriana sottovia | cause of | 7 carabineros acusados por Lonquen
enrique astudillo alvarez | affected by | arrest at sergio maureira's house
adolfo banados cuadra | cause of | arrest at sergio maureira's house
municipalidad de isla de maipo | is contained in | isla de maipo
cementerio parroquial de isla de maipo | is contained in | isla de maipo
estadio nacional | is contained in | santiago
manuel rodriguez 988 isla de maipo | is contained in | isla de maipo
calle la ballica n° 12 | is contained in | fundo naguayan
public wake for victims | occurs at | municipalidad de isla de maipo
solemn burial of victims | occurs at | cementerio parroquial de isla de maipo
kidnappings in isla de maipo | occurs at | isla de maipo
Arrest of 15 men | occurs at | isla de maipo
Finding of human remains | occurs at | hornos de lonquen
Identification of 13 bodies | occurs at | san miguel
Public wake for victims | occurs at | isla de maipo
Burial ceremony of victims | occurs at | cementerio parroquial de isla de maipo
masacre de Lonquen conmemoration | occurs at | lonquen
ministro Banados declares incompetence | occurs at | santiago
military prosecutor indicts | occurs at | santiago
prisoners' release decision | occurs at | instituto medico legal
arrest at la ballica no 12 | occurs at | calle la ballica n° 12
lonquen massacre | occurs at | lonquen
dictation of orders 1979 | occurs at | isla de maipo
court martial decision | occurs at | isla de maipo
discovery of remains | occurs at | lonquen
remains identified in lonquen | occurs at | lonquen
sentencing of former carabineros | occurs at | isla de maipo
supreme court confirmation | occurs at | santiago
discovery at lonquen | occurs at | lonquen
minister in visit extraordinary | occurs at | santiago
sobreseimiento de reos | occurs at | lonquen
confirmacion de sobreseimiento | occurs at | lonquen
7 carabineros acusados por Lonquen | occurs at | san miguel
carabineros de chile | if part of | corte suprema
Corte de Apelaciones de Santiago | if part of | corte suprema
Corte Marcial | if part of | corte suprema
vicaria de la solidaridad | if part of | Instituto Medico Legal
Carabineros | if part of | corporacion memoria lonquen
corporacion memoria lonquen | if part of | vicaria de la solidaridad
asamblea general | if part of | naciones unidas
Corte Marcial | if part of | fiscalia militar
Instituto Medico Legal | if part of | fiscalia militar
Carabineros | if part of | ministerio del interior
partido por la democracia | if part of | organismos de derechos humanos
carabineros de chile | if part of | corte de apelaciones de san miguel
cooperativa agricola el triunfador | if part of | vicaria de la solidaridad
Instituto Medico Legal | if part of | corte suprema
justicia militar | if part of | corte suprema
vicaria de la solidaridad | if part of | naciones unidas
agrupacion de familiares de detenidos desaparecidos | affected by | supreme court condemns carabineros
carabineros de chile | cause of | supreme court condemns carabineros
carabineros de chile | cause of | kidnappings in isla de maipo
corte suprema | cause of | supreme court condemns carabineros
fisco | cause of | supreme court condemns carabineros
Carabineros | cause of | Arrest of 15 men
Carabineros | cause of | Finding of human remains
Corte Marcial | cause of | Corte Marcial verdict
Corte de Apelaciones de Santiago | affected by | Identification of 13 bodies
Servicio Medico Legal | cause of | Identification of 13 bodies
Carabineros | cause of | discovery of lonquen bodies
Carabineros | cause of | masacre de Lonquen conmemoration
corporacion memoria lonquen | affected by | masacre de Lonquen conmemoration
