name,n_original_sents,n_generated_sents,split_type,model_name,emb_dimension,batch_size,SCORE_left,SCORE_left_stdev,SCORE_left_median,SCORE_right,SCORE_right_stdev,SCORE_right_median,execution_time
airport,227,714,sentences,all-mpnet-base-v2,768,32,0.1151,0.049,0.116,0.133,0.1031,0.1016,0.9994
artist,302,896,sentences,all-mpnet-base-v2,768,32,0.1528,0.0619,0.1471,0.1441,0.0938,0.1344,0.9555
astronaut,86,241,sentences,all-mpnet-base-v2,768,32,0.1417,0.0575,0.1535,0.132,0.1021,0.1191,0.3628
athlete,186,575,sentences,all-mpnet-base-v2,768,32,0.1193,0.0445,0.108,0.1608,0.1052,0.1196,0.7756
building,172,588,sentences,all-mpnet-base-v2,768,32,0.1405,0.0673,0.1212,0.1799,0.1176,0.1561,0.799
celestialbody,122,373,sentences,all-mpnet-base-v2,768,32,0.2087,0.061,0.2085,0.249,0.0902,0.2431,0.7501
city,131,398,sentences,all-mpnet-base-v2,768,32,0.1354,0.0759,0.1345,0.1223,0.1066,0.0887,0.6251
comicscharacter,66,215,sentences,all-mpnet-base-v2,768,32,0.1854,0.0645,0.1893,0.2245,0.1075,0.2171,0.3506
company,97,300,sentences,all-mpnet-base-v2,768,32,0.1469,0.0686,0.1516,0.1413,0.0926,0.1211,0.4459
film,137,398,sentences,all-mpnet-base-v2,768,32,0.1651,0.0838,0.1681,0.1408,0.0673,0.1465,0.6625
food,245,734,sentences,all-mpnet-base-v2,768,32,0.1553,0.0665,0.1441,0.1647,0.0957,0.1416,0.8867
meanoftransportation,222,647,sentences,all-mpnet-base-v2,768,32,0.1534,0.0636,0.1466,0.1641,0.1093,0.1476,1.0068
monument,73,293,sentences,all-mpnet-base-v2,768,32,0.1173,0.0723,0.0893,0.1141,0.0902,0.0839,0.4401
musicalwork,81,221,sentences,all-mpnet-base-v2,768,32,0.1669,0.0772,0.1692,0.1405,0.0829,0.1231,0.4576
politician,184,550,sentences,all-mpnet-base-v2,768,32,0.1553,0.0452,0.1527,0.17,0.0748,0.1576,0.7361
scientist,110,300,sentences,all-mpnet-base-v2,768,32,0.1076,0.0655,0.1033,0.053,0.0705,0.0343,0.4331
sportsteam,125,375,sentences,all-mpnet-base-v2,768,32,0.1557,0.055,0.1477,0.1915,0.0962,0.1605,0.6337
university,85,248,sentences,all-mpnet-base-v2,768,32,0.1634,0.0699,0.1735,0.1401,0.0957,0.1505,0.4755
writtenwork,195,557,sentences,all-mpnet-base-v2,768,32,0.177,0.0802,0.1629,0.1866,0.0967,0.1675,0.9299
